[INFO] 檢查輸入檔案是否存在...
[INFO] 檢查/建立輸出目錄...
[INFO] 載入資料...
[INFO] 建立帳戶層級特徵...
[INFO] 建立帳戶層級特徵...
[INFO] 建立標籤...
[INFO] 切分資料...
[INFO] 建立前處理 pipeline...
[INFO] 正樣本數=614, 負樣本數=654905
[INFO] scale_pos_weight = 1066.62
Iter 1/10 | Best AUC=0.9797
Iter 2/10 | Best AUC=0.9802
Iter 3/10 | Best AUC=0.9802
Iter 4/10 | Best AUC=0.9803
Iter 5/10 | Best AUC=0.9803
Iter 6/10 | Best AUC=0.9803
Iter 7/10 | Best AUC=0.9803
Iter 8/10 | Best AUC=0.9803
Iter 9/10 | Best AUC=0.9804
Iter 10/10 | Best AUC=0.9804
[INFO] PSO 最佳參數: [3.         0.01       0.6        1.         2.40152622 0.17692891]
[INFO] PSO 最佳 AUC: 0.9804
[88]	validation_0-auc:0.97032	validation_0-logloss:0.34905
[89]	validation_0-auc:0.97049	validation_0-logloss:0.34718
[90]	validation_0-auc:0.97050	validation_0-logloss:0.34535
[91]	validation_0-auc:0.97035	validation_0-logloss:0.34348
[92]	validation_0-auc:0.97034	validation_0-logloss:0.34176
[93]	validation_0-auc:0.97032	validation_0-logloss:0.34018
[94]	validation_0-auc:0.97037	validation_0-logloss:0.33847
[95]	validation_0-auc:0.97036	validation_0-logloss:0.33679
[96]	validation_0-auc:0.97044	validation_0-logloss:0.33513
[97]	validation_0-auc:0.97040	validation_0-logloss:0.33366
[98]	validation_0-auc:0.97041	validation_0-logloss:0.33214
[99]	validation_0-auc:0.97057	validation_0-logloss:0.33040
[100]	validation_0-auc:0.97055	validation_0-logloss:0.32887
[101]	validation_0-auc:0.97057	validation_0-logloss:0.32727
[102]	validation_0-auc:0.97082	validation_0-logloss:0.32564
[103]	validation_0-auc:0.97083	validation_0-logloss:0.32417
[104]	validation_0-auc:0.97082	validation_0-logloss:0.32288
[105]	validation_0-auc:0.97080	validation_0-logloss:0.32155
[106]	validation_0-auc:0.97088	validation_0-logloss:0.32009
[107]	validation_0-auc:0.97092	validation_0-logloss:0.31866
[108]	validation_0-auc:0.97092	validation_0-logloss:0.31739
[109]	validation_0-auc:0.97101	validation_0-logloss:0.31601
[110]	validation_0-auc:0.97111	validation_0-logloss:0.31464
[111]	validation_0-auc:0.97115	validation_0-logloss:0.31320
[112]	validation_0-auc:0.97116	validation_0-logloss:0.31193
[113]	validation_0-auc:0.97135	validation_0-logloss:0.31054
[114]	validation_0-auc:0.97136	validation_0-logloss:0.30933
[115]	validation_0-auc:0.97134	validation_0-logloss:0.30804
[116]	validation_0-auc:0.97144	validation_0-logloss:0.30674
[117]	validation_0-auc:0.97142	validation_0-logloss:0.30547
[118]	validation_0-auc:0.97153	validation_0-logloss:0.30425
[119]	validation_0-auc:0.97152	validation_0-logloss:0.30304
[120]	validation_0-auc:0.97150	validation_0-logloss:0.30194
[121]	validation_0-auc:0.97145	validation_0-logloss:0.30083
[122]	validation_0-auc:0.97144	validation_0-logloss:0.29966
[123]	validation_0-auc:0.97144	validation_0-logloss:0.29831
[124]	validation_0-auc:0.97158	validation_0-logloss:0.29727
[125]	validation_0-auc:0.97155	validation_0-logloss:0.29616
[126]	validation_0-auc:0.97159	validation_0-logloss:0.29512
[127]	validation_0-auc:0.97157	validation_0-logloss:0.29409
[128]	validation_0-auc:0.97161	validation_0-logloss:0.29305
[129]	validation_0-auc:0.97162	validation_0-logloss:0.29180
[130]	validation_0-auc:0.97165	validation_0-logloss:0.29075
[131]	validation_0-auc:0.97176	validation_0-logloss:0.28981
[132]	validation_0-auc:0.97213	validation_0-logloss:0.28886
[133]	validation_0-auc:0.97210	validation_0-logloss:0.28786
[134]	validation_0-auc:0.97210	validation_0-logloss:0.28700
[135]	validation_0-auc:0.97208	validation_0-logloss:0.28613
[136]	validation_0-auc:0.97218	validation_0-logloss:0.28502
[137]	validation_0-auc:0.97218	validation_0-logloss:0.28408
[138]	validation_0-auc:0.97231	validation_0-logloss:0.28299
[139]	validation_0-auc:0.97238	validation_0-logloss:0.28205
[140]	validation_0-auc:0.97246	validation_0-logloss:0.28117
[141]	validation_0-auc:0.97244	validation_0-logloss:0.28029
[142]	validation_0-auc:0.97251	validation_0-logloss:0.27949
[143]	validation_0-auc:0.97262	validation_0-logloss:0.27865
[144]	validation_0-auc:0.97258	validation_0-logloss:0.27777
[145]	validation_0-auc:0.97258	validation_0-logloss:0.27673
[146]	validation_0-auc:0.97258	validation_0-logloss:0.27577
[147]	validation_0-auc:0.97262	validation_0-logloss:0.27483
[148]	validation_0-auc:0.97265	validation_0-logloss:0.27405
[149]	validation_0-auc:0.97264	validation_0-logloss:0.27318
[150]	validation_0-auc:0.97270	validation_0-logloss:0.27234
[151]	validation_0-auc:0.97269	validation_0-logloss:0.27158
[152]	validation_0-auc:0.97268	validation_0-logloss:0.27079
[153]	validation_0-auc:0.97271	validation_0-logloss:0.27014
[154]	validation_0-auc:0.97281	validation_0-logloss:0.26950
[155]	validation_0-auc:0.97286	validation_0-logloss:0.26873
[156]	validation_0-auc:0.97286	validation_0-logloss:0.26804
[157]	validation_0-auc:0.97286	validation_0-logloss:0.26736
[158]	validation_0-auc:0.97292	validation_0-logloss:0.26663
[159]	validation_0-auc:0.97301	validation_0-logloss:0.26593
[160]	validation_0-auc:0.97303	validation_0-logloss:0.26511
[161]	validation_0-auc:0.97306	validation_0-logloss:0.26450
[162]	validation_0-auc:0.97308	validation_0-logloss:0.26358
[163]	validation_0-auc:0.97306	validation_0-logloss:0.26271
[164]	validation_0-auc:0.97304	validation_0-logloss:0.26201
[165]	validation_0-auc:0.97306	validation_0-logloss:0.26122
[166]	validation_0-auc:0.97303	validation_0-logloss:0.26068
[167]	validation_0-auc:0.97307	validation_0-logloss:0.26001
[168]	validation_0-auc:0.97307	validation_0-logloss:0.25946
[169]	validation_0-auc:0.97300	validation_0-logloss:0.25889
[170]	validation_0-auc:0.97302	validation_0-logloss:0.25813
[171]	validation_0-auc:0.97313	validation_0-logloss:0.25758
[172]	validation_0-auc:0.97322	validation_0-logloss:0.25671
[173]	validation_0-auc:0.97321	validation_0-logloss:0.25608
[174]	validation_0-auc:0.97321	validation_0-logloss:0.25519
[175]	validation_0-auc:0.97323	validation_0-logloss:0.25463
[176]	validation_0-auc:0.97326	validation_0-logloss:0.25406
[177]	validation_0-auc:0.97326	validation_0-logloss:0.25348
[178]	validation_0-auc:0.97324	validation_0-logloss:0.25289
[179]	validation_0-auc:0.97325	validation_0-logloss:0.25233
[180]	validation_0-auc:0.97328	validation_0-logloss:0.25179
[181]	validation_0-auc:0.97335	validation_0-logloss:0.25117
[182]	validation_0-auc:0.97332	validation_0-logloss:0.25068
[183]	validation_0-auc:0.97335	validation_0-logloss:0.25016
[184]	validation_0-auc:0.97336	validation_0-logloss:0.24956
[185]	validation_0-auc:0.97341	validation_0-logloss:0.24913
[186]	validation_0-auc:0.97346	validation_0-logloss:0.24862
[187]	validation_0-auc:0.97347	validation_0-logloss:0.24810
[188]	validation_0-auc:0.97351	validation_0-logloss:0.24740
[189]	validation_0-auc:0.97358	validation_0-logloss:0.24682
[190]	validation_0-auc:0.97356	validation_0-logloss:0.24633
[191]	validation_0-auc:0.97363	validation_0-logloss:0.24581
[192]	validation_0-auc:0.97363	validation_0-logloss:0.24527
[193]	validation_0-auc:0.97359	validation_0-logloss:0.24485
[194]	validation_0-auc:0.97368	validation_0-logloss:0.24436
[195]	validation_0-auc:0.97366	validation_0-logloss:0.24390
[196]	validation_0-auc:0.97376	validation_0-logloss:0.24350
[197]	validation_0-auc:0.97377	validation_0-logloss:0.24313
[198]	validation_0-auc:0.97385	validation_0-logloss:0.24264
[199]	validation_0-auc:0.97388	validation_0-logloss:0.24193
[200]	validation_0-auc:0.97392	validation_0-logloss:0.24133
[201]	validation_0-auc:0.97388	validation_0-logloss:0.24093
[202]	validation_0-auc:0.97364	validation_0-logloss:0.24052
[203]	validation_0-auc:0.97399	validation_0-logloss:0.23991
[204]	validation_0-auc:0.97398	validation_0-logloss:0.23928
[205]	validation_0-auc:0.97408	validation_0-logloss:0.23881
[206]	validation_0-auc:0.97414	validation_0-logloss:0.23830
[207]	validation_0-auc:0.97386	validation_0-logloss:0.23792
[208]	validation_0-auc:0.97390	validation_0-logloss:0.23724
[209]	validation_0-auc:0.97431	validation_0-logloss:0.23687
[210]	validation_0-auc:0.97432	validation_0-logloss:0.23623
[211]	validation_0-auc:0.97433	validation_0-logloss:0.23594
[212]	validation_0-auc:0.97445	validation_0-logloss:0.23530
[213]	validation_0-auc:0.97449	validation_0-logloss:0.23492
[214]	validation_0-auc:0.97449	validation_0-logloss:0.23434
[215]	validation_0-auc:0.97453	validation_0-logloss:0.23405
[216]	validation_0-auc:0.97450	validation_0-logloss:0.23349
[217]	validation_0-auc:0.97450	validation_0-logloss:0.23296
[218]	validation_0-auc:0.97454	validation_0-logloss:0.23259
[219]	validation_0-auc:0.97453	validation_0-logloss:0.23212
[220]	validation_0-auc:0.97432	validation_0-logloss:0.23172
[221]	validation_0-auc:0.97440	validation_0-logloss:0.23143
[222]	validation_0-auc:0.97446	validation_0-logloss:0.23109
[223]	validation_0-auc:0.97444	validation_0-logloss:0.23074
[224]	validation_0-auc:0.97445	validation_0-logloss:0.23044
[225]	validation_0-auc:0.97445	validation_0-logloss:0.23009
[226]	validation_0-auc:0.97447	validation_0-logloss:0.22955
[227]	validation_0-auc:0.97446	validation_0-logloss:0.22925
[228]	validation_0-auc:0.97445	validation_0-logloss:0.22890
[229]	validation_0-auc:0.97450	validation_0-logloss:0.22855
[230]	validation_0-auc:0.97459	validation_0-logloss:0.22821
[231]	validation_0-auc:0.97467	validation_0-logloss:0.22800
[232]	validation_0-auc:0.97472	validation_0-logloss:0.22778
[233]	validation_0-auc:0.97474	validation_0-logloss:0.22721
[234]	validation_0-auc:0.97473	validation_0-logloss:0.22691
[235]	validation_0-auc:0.97472	validation_0-logloss:0.22657
[236]	validation_0-auc:0.97485	validation_0-logloss:0.22620
[237]	validation_0-auc:0.97485	validation_0-logloss:0.22590
[238]	validation_0-auc:0.97493	validation_0-logloss:0.22563
[239]	validation_0-auc:0.97489	validation_0-logloss:0.22540
[240]	validation_0-auc:0.97496	validation_0-logloss:0.22504
[241]	validation_0-auc:0.97498	validation_0-logloss:0.22462
[242]	validation_0-auc:0.97499	validation_0-logloss:0.22434
[243]	validation_0-auc:0.97506	validation_0-logloss:0.22391
[244]	validation_0-auc:0.97504	validation_0-logloss:0.22358
[245]	validation_0-auc:0.97508	validation_0-logloss:0.22316
[246]	validation_0-auc:0.97511	validation_0-logloss:0.22281
[247]	validation_0-auc:0.97514	validation_0-logloss:0.22261
[248]	validation_0-auc:0.97517	validation_0-logloss:0.22236
[249]	validation_0-auc:0.97527	validation_0-logloss:0.22191
[250]	validation_0-auc:0.97531	validation_0-logloss:0.22144
[251]	validation_0-auc:0.97530	validation_0-logloss:0.22122
[252]	validation_0-auc:0.97531	validation_0-logloss:0.22101
[253]	validation_0-auc:0.97535	validation_0-logloss:0.22046
[254]	validation_0-auc:0.97538	validation_0-logloss:0.22024
[255]	validation_0-auc:0.97537	validation_0-logloss:0.21999
[256]	validation_0-auc:0.97538	validation_0-logloss:0.21974
[257]	validation_0-auc:0.97544	validation_0-logloss:0.21952
[258]	validation_0-auc:0.97545	validation_0-logloss:0.21928
[259]	validation_0-auc:0.97549	validation_0-logloss:0.21887
[260]	validation_0-auc:0.97548	validation_0-logloss:0.21839
[261]	validation_0-auc:0.97557	validation_0-logloss:0.21810
[262]	validation_0-auc:0.97556	validation_0-logloss:0.21793
[263]	validation_0-auc:0.97549	validation_0-logloss:0.21752
[264]	validation_0-auc:0.97553	validation_0-logloss:0.21727
[265]	validation_0-auc:0.97557	validation_0-logloss:0.21682
[266]	validation_0-auc:0.97555	validation_0-logloss:0.21634
[267]	validation_0-auc:0.97558	validation_0-logloss:0.21615
[268]	validation_0-auc:0.97560	validation_0-logloss:0.21556
[269]	validation_0-auc:0.97565	validation_0-logloss:0.21535
[270]	validation_0-auc:0.97562	validation_0-logloss:0.21514
[271]	validation_0-auc:0.97557	validation_0-logloss:0.21492
[272]	validation_0-auc:0.97559	validation_0-logloss:0.21478
[273]	validation_0-auc:0.97563	validation_0-logloss:0.21440
[274]	validation_0-auc:0.97564	validation_0-logloss:0.21419
[275]	validation_0-auc:0.97566	validation_0-logloss:0.21401
[276]	validation_0-auc:0.97566	validation_0-logloss:0.21384
[277]	validation_0-auc:0.97564	validation_0-logloss:0.21352
[278]	validation_0-auc:0.97564	validation_0-logloss:0.21337
[279]	validation_0-auc:0.97572	validation_0-logloss:0.21291
[280]	validation_0-auc:0.97577	validation_0-logloss:0.21250
[281]	validation_0-auc:0.97567	validation_0-logloss:0.21241
[282]	validation_0-auc:0.97570	validation_0-logloss:0.21228
[283]	validation_0-auc:0.97578	validation_0-logloss:0.21193
[284]	validation_0-auc:0.97576	validation_0-logloss:0.21147
[285]	validation_0-auc:0.97579	validation_0-logloss:0.21120
[286]	validation_0-auc:0.97578	validation_0-logloss:0.21105
[287]	validation_0-auc:0.97579	validation_0-logloss:0.21078
[288]	validation_0-auc:0.97586	validation_0-logloss:0.21057
[289]	validation_0-auc:0.97586	validation_0-logloss:0.21045
[290]	validation_0-auc:0.97589	validation_0-logloss:0.20998
[291]	validation_0-auc:0.97585	validation_0-logloss:0.20971
[292]	validation_0-auc:0.97589	validation_0-logloss:0.20941
[293]	validation_0-auc:0.97590	validation_0-logloss:0.20914
[294]	validation_0-auc:0.97589	validation_0-logloss:0.20877
[295]	validation_0-auc:0.97589	validation_0-logloss:0.20867
[296]	validation_0-auc:0.97590	validation_0-logloss:0.20819
[297]	validation_0-auc:0.97593	validation_0-logloss:0.20800
[298]	validation_0-auc:0.97596	validation_0-logloss:0.20763
[299]	validation_0-auc:0.97603	validation_0-logloss:0.20730
[300]	validation_0-auc:0.97609	validation_0-logloss:0.20687
[301]	validation_0-auc:0.97638	validation_0-logloss:0.20645
[302]	validation_0-auc:0.97643	validation_0-logloss:0.20628
[303]	validation_0-auc:0.97650	validation_0-logloss:0.20590
[304]	validation_0-auc:0.97649	validation_0-logloss:0.20567
[305]	validation_0-auc:0.97649	validation_0-logloss:0.20528
[306]	validation_0-auc:0.97656	validation_0-logloss:0.20479
[307]	validation_0-auc:0.97656	validation_0-logloss:0.20464
[308]	validation_0-auc:0.97658	validation_0-logloss:0.20447
[309]	validation_0-auc:0.97649	validation_0-logloss:0.20437
[310]	validation_0-auc:0.97655	validation_0-logloss:0.20402
[311]	validation_0-auc:0.97656	validation_0-logloss:0.20392
[312]	validation_0-auc:0.97665	validation_0-logloss:0.20367
[313]	validation_0-auc:0.97668	validation_0-logloss:0.20338
[314]	validation_0-auc:0.97675	validation_0-logloss:0.20309
[315]	validation_0-auc:0.97675	validation_0-logloss:0.20290
[316]	validation_0-auc:0.97681	validation_0-logloss:0.20272
[317]	validation_0-auc:0.97681	validation_0-logloss:0.20245
[318]	validation_0-auc:0.97681	validation_0-logloss:0.20228
[319]	validation_0-auc:0.97680	validation_0-logloss:0.20190
[320]	validation_0-auc:0.97680	validation_0-logloss:0.20164
[321]	validation_0-auc:0.97683	validation_0-logloss:0.20118
[322]	validation_0-auc:0.97685	validation_0-logloss:0.20102
[323]	validation_0-auc:0.97685	validation_0-logloss:0.20084
[324]	validation_0-auc:0.97685	validation_0-logloss:0.20066
[325]	validation_0-auc:0.97687	validation_0-logloss:0.20048
[326]	validation_0-auc:0.97686	validation_0-logloss:0.20009
[327]	validation_0-auc:0.97694	validation_0-logloss:0.19999
[328]	validation_0-auc:0.97689	validation_0-logloss:0.19979
[329]	validation_0-auc:0.97699	validation_0-logloss:0.19941
[330]	validation_0-auc:0.97703	validation_0-logloss:0.19914
[331]	validation_0-auc:0.97717	validation_0-logloss:0.19878
[332]	validation_0-auc:0.97725	validation_0-logloss:0.19841
[333]	validation_0-auc:0.97729	validation_0-logloss:0.19803
[334]	validation_0-auc:0.97733	validation_0-logloss:0.19773
[335]	validation_0-auc:0.97736	validation_0-logloss:0.19755
[336]	validation_0-auc:0.97738	validation_0-logloss:0.19747
[337]	validation_0-auc:0.97740	validation_0-logloss:0.19717
[338]	validation_0-auc:0.97742	validation_0-logloss:0.19699
[339]	validation_0-auc:0.97733	validation_0-logloss:0.19674
[340]	validation_0-auc:0.97734	validation_0-logloss:0.19656
[341]	validation_0-auc:0.97733	validation_0-logloss:0.19624
[342]	validation_0-auc:0.97739	validation_0-logloss:0.19587
[343]	validation_0-auc:0.97741	validation_0-logloss:0.19573
[344]	validation_0-auc:0.97739	validation_0-logloss:0.19547
[345]	validation_0-auc:0.97743	validation_0-logloss:0.19523
[346]	validation_0-auc:0.97743	validation_0-logloss:0.19513
[347]	validation_0-auc:0.97746	validation_0-logloss:0.19502
[348]	validation_0-auc:0.97740	validation_0-logloss:0.19468
[349]	validation_0-auc:0.97743	validation_0-logloss:0.19454
[350]	validation_0-auc:0.97748	validation_0-logloss:0.19433
[351]	validation_0-auc:0.97749	validation_0-logloss:0.19424
[352]	validation_0-auc:0.97751	validation_0-logloss:0.19389
[353]	validation_0-auc:0.97745	validation_0-logloss:0.19377
[354]	validation_0-auc:0.97744	validation_0-logloss:0.19360
[355]	validation_0-auc:0.97745	validation_0-logloss:0.19339
[356]	validation_0-auc:0.97740	validation_0-logloss:0.19319
[357]	validation_0-auc:0.97738	validation_0-logloss:0.19290
[358]	validation_0-auc:0.97745	validation_0-logloss:0.19260
[359]	validation_0-auc:0.97747	validation_0-logloss:0.19252
[360]	validation_0-auc:0.97750	validation_0-logloss:0.19228
[361]	validation_0-auc:0.97751	validation_0-logloss:0.19203
[362]	validation_0-auc:0.97753	validation_0-logloss:0.19182
[363]	validation_0-auc:0.97751	validation_0-logloss:0.19167
[364]	validation_0-auc:0.97751	validation_0-logloss:0.19139
[365]	validation_0-auc:0.97757	validation_0-logloss:0.19120
[366]	validation_0-auc:0.97757	validation_0-logloss:0.19113
[367]	validation_0-auc:0.97758	validation_0-logloss:0.19093
[368]	validation_0-auc:0.97761	validation_0-logloss:0.19067
[369]	validation_0-auc:0.97762	validation_0-logloss:0.19045
[370]	validation_0-auc:0.97766	validation_0-logloss:0.19021
